resion code,Time,Temperature,Humidity
108,2025-07-01 00:00,27.7,77
108,2025-07-01 01:00,27.4,79
108,2025-07-01 02:00,27.1,81
108,2025-07-01 03:00,26.9,82
108,2025-07-01 04:00,26.7,84
108,2025-07-01 05:00,26.7,84
108,2025-07-01 06:00,26.5,87
108,2025-07-01 07:00,26.4,91
108,2025-07-01 08:00,26.4,91
108,2025-07-01 09:00,27,88
108,2025-07-01 10:00,28.1,83
108,2025-07-01 11:00,29.1,78
108,2025-07-01 12:00,29.8,75
108,2025-07-01 13:00,31.3,71
108,2025-07-01 14:00,31.6,69
108,2025-07-01 15:00,31.2,69
108,2025-07-01 16:00,31.6,69
108,2025-07-01 17:00,31.2,68
108,2025-07-01 18:00,31.1,69
108,2025-07-01 19:00,30.1,71
108,2025-07-01 20:00,29.4,74
108,2025-07-01 21:00,28.6,78
108,2025-07-01 22:00,28.3,79
108,2025-07-01 23:00,28,81
108,2025-07-02 00:00,27.8,81
108,2025-07-02 01:00,27.4,82
108,2025-07-02 02:00,27.2,82
108,2025-07-02 03:00,27,83
108,2025-07-02 04:00,27,84
108,2025-07-02 05:00,26.9,84
108,2025-07-02 06:00,26.8,83
108,2025-07-02 07:00,27,82
108,2025-07-02 08:00,27.4,81
108,2025-07-02 09:00,28.2,79
108,2025-07-02 10:00,28.8,77
108,2025-07-02 11:00,29.1,75
108,2025-07-02 12:00,30.2,69
108,2025-07-02 13:00,30.6,67
108,2025-07-02 14:00,30.2,69
108,2025-07-02 15:00,30.2,69
108,2025-07-02 16:00,30.4,66
108,2025-07-02 17:00,30.6,62
108,2025-07-02 18:00,30.3,67
108,2025-07-02 19:00,29.5,67
108,2025-07-02 20:00,28.8,71
108,2025-07-02 21:00,28.3,78
108,2025-07-02 22:00,28,79
108,2025-07-02 23:00,27.8,81
108,2025-07-03 00:00,27.6,82
108,2025-07-03 01:00,27.4,84
108,2025-07-03 02:00,27.2,85
108,2025-07-03 03:00,27.1,85
108,2025-07-03 04:00,27,87
108,2025-07-03 05:00,26.9,85
108,2025-07-03 06:00,26.8,85
108,2025-07-03 07:00,26.8,84
108,2025-07-03 08:00,27,83
108,2025-07-03 09:00,27.1,81
108,2025-07-03 10:00,27.5,80
108,2025-07-03 11:00,28.2,77
108,2025-07-03 12:00,28.5,75
108,2025-07-03 13:00,28.6,75
108,2025-07-03 14:00,30,69
108,2025-07-03 15:00,31.5,61
108,2025-07-03 16:00,31.1,61
108,2025-07-03 17:00,31.5,56
108,2025-07-03 18:00,30.5,63
108,2025-07-03 19:00,29.6,70
108,2025-07-03 20:00,28.7,72
108,2025-07-03 21:00,28,74
108,2025-07-03 22:00,27.5,76
108,2025-07-03 23:00,27,79
108,2025-07-04 00:00,26.5,80
108,2025-07-04 01:00,26.3,80
108,2025-07-04 02:00,26.1,81
108,2025-07-04 03:00,26,80
108,2025-07-04 04:00,25.8,81
108,2025-07-04 05:00,25.8,82
108,2025-07-04 06:00,25.7,84
108,2025-07-04 07:00,26,82
108,2025-07-04 08:00,26.6,78
108,2025-07-04 09:00,26.8,75
108,2025-07-04 10:00,27.1,73
108,2025-07-04 11:00,27.3,75
108,2025-07-04 12:00,27,76
108,2025-07-04 13:00,27.4,74
108,2025-07-04 14:00,29.1,69
108,2025-07-04 15:00,29.5,67
108,2025-07-04 16:00,28.9,71
108,2025-07-04 17:00,28.6,74
108,2025-07-04 18:00,28.4,75
108,2025-07-04 19:00,28.1,76
108,2025-07-04 20:00,27.7,77
108,2025-07-04 21:00,27.4,78
108,2025-07-04 22:00,27.1,79
108,2025-07-04 23:00,26.9,81
108,2025-07-05 00:00,26.7,81
108,2025-07-05 01:00,26.6,81
108,2025-07-05 02:00,26.5,82
108,2025-07-05 03:00,26.3,81
108,2025-07-05 04:00,26.2,83
108,2025-07-05 05:00,26.1,83
108,2025-07-05 06:00,26,81
108,2025-07-05 07:00,26.2,82
108,2025-07-05 08:00,26.4,81
108,2025-07-05 09:00,27.2,77
108,2025-07-05 10:00,27.7,73
108,2025-07-05 11:00,28.2,71
108,2025-07-05 12:00,29.2,68
108,2025-07-05 13:00,30.3,66
108,2025-07-05 14:00,31.1,64
108,2025-07-05 15:00,32.2,61
108,2025-07-05 16:00,32,60
108,2025-07-05 17:00,31.2,61
108,2025-07-05 18:00,30.7,65
108,2025-07-05 19:00,30.1,68
108,2025-07-05 20:00,29.2,71
108,2025-07-05 21:00,28.7,72
108,2025-07-05 22:00,28,76
108,2025-07-05 23:00,27.4,79
108,2025-07-06 00:00,27.1,78
108,2025-07-06 01:00,26.8,79
108,2025-07-06 02:00,26.6,80
108,2025-07-06 03:00,26.6,81
108,2025-07-06 04:00,26.5,82
108,2025-07-06 05:00,26.5,82
108,2025-07-06 06:00,26.4,83
108,2025-07-06 07:00,26.4,82
108,2025-07-06 08:00,26.4,83
108,2025-07-06 09:00,26.6,82
108,2025-07-06 10:00,27.4,79
108,2025-07-06 11:00,28.6,76
108,2025-07-06 12:00,30.6,68
108,2025-07-06 13:00,31.5,63
108,2025-07-06 14:00,32.6,61
108,2025-07-06 15:00,32.7,60
108,2025-07-06 16:00,32.3,62
108,2025-07-06 17:00,31.9,62
108,2025-07-06 18:00,32,67
