resion code,Time,Temperature,Humidity,Insolation
143,2025-09-14 00:00,22.1,78,
143,2025-09-14 01:00,22,79,
143,2025-09-14 02:00,21.2,88,
143,2025-09-14 03:00,20.9,88,
143,2025-09-14 04:00,20.8,89,
143,2025-09-14 05:00,20.6,91,
143,2025-09-14 06:00,20.9,90,
143,2025-09-14 07:00,20.9,91,0.02
143,2025-09-14 08:00,21.5,89,0.15
143,2025-09-14 09:00,22.2,85,0.68
143,2025-09-14 10:00,22.8,84,1.13
143,2025-09-14 11:00,23.7,79,1.73
143,2025-09-14 12:00,24.6,78,1.88
143,2025-09-14 13:00,26.6,68,2.47
143,2025-09-14 14:00,27.9,61,3.11
143,2025-09-14 15:00,28.2,56,1.72
143,2025-09-14 16:00,28.2,59,1.07
143,2025-09-14 17:00,28.3,58,0.99
143,2025-09-14 18:00,27.4,64,0.36
143,2025-09-14 19:00,26.2,74,0.03
143,2025-09-14 20:00,25.2,80,
143,2025-09-14 21:00,24.6,80,
143,2025-09-14 22:00,24.4,84,
143,2025-09-14 23:00,24,84,
143,2025-09-15 00:00,23.5,86,
143,2025-09-15 01:00,23.3,88,
143,2025-09-15 02:00,23.1,88,
143,2025-09-15 03:00,22.9,87,
143,2025-09-15 04:00,22.8,90,
143,2025-09-15 05:00,22.5,91,
143,2025-09-15 06:00,22.2,93,
143,2025-09-15 07:00,22.7,92,0.1
143,2025-09-15 08:00,24.3,84,0.6
143,2025-09-15 09:00,26.5,74,1.22
143,2025-09-15 10:00,28.6,66,2.23
143,2025-09-15 11:00,29.4,61,2.57
143,2025-09-15 12:00,29.5,58,1.62
143,2025-09-15 13:00,29.5,55,1.12
143,2025-09-15 14:00,28.7,66,0.68
143,2025-09-15 15:00,28.7,67,0.87
143,2025-09-15 16:00,28.8,64,0.88
143,2025-09-15 17:00,28.8,63,0.68
143,2025-09-15 18:00,28,67,0.27
143,2025-09-15 19:00,27.1,72,0.02
143,2025-09-15 20:00,26.4,78,
143,2025-09-15 21:00,25.4,80,
143,2025-09-15 22:00,25,82,
143,2025-09-15 23:00,24.4,85,
143,2025-09-16 00:00,24.1,87,
143,2025-09-16 01:00,24,87,
143,2025-09-16 02:00,23.7,88,
143,2025-09-16 03:00,23.4,89,
143,2025-09-16 04:00,23,91,
143,2025-09-16 05:00,23,92,
143,2025-09-16 06:00,23.1,91,
143,2025-09-16 07:00,23.5,91,0.07
143,2025-09-16 08:00,24.5,87,0.41
143,2025-09-16 09:00,26.1,80,1.24
143,2025-09-16 10:00,28.2,73,1.94
